Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2/2/2017,610,628.7,600,618.3,614.93,11446,313,7038498,7617,66.55,28.7,8.3
2/1/2017,575,605,568,599.85,589.9,2342,164,1381537,1546,66.01,37,24.85
1/31/2017,619.95,619.95,576.65,582,582.14,935,100,544300,637,68.13,43.3,-37.95
1/30/2017,605,617,587,593.25,604.77,3019,226,1825808,1903,63.03,30,-11.75
1/27/2017,581.8,620,581.05,615,608.29,11845,499,7205184,7332,61.9,38.95,33.2
1/25/2017,574.5,585,572.25,577,577.89,1453,102,839673,986,67.86,12.75,2.5
1/24/2017,565,574.9,565,569.85,571.3,3164,133,1807596,1588,50.19,9.9,4.85
1/23/2017,535.5,565.5,535.5,562.25,557.19,1464,114,815720,778,53.14,30,26.75
1/20/2017,535,549,533.05,541.1,536.93,1195,124,641636,837,70.04,15.95,6.1
1/19/2017,539.5,542.3,535,537.05,536.25,601,64,322285,528,87.85,7.3,-2.45
1/18/2017,534,539.85,532,535,534.14,189,14,100953,165,87.3,7.85,1
1/17/2017,536,539.85,530.5,532.35,533.75,524,28,279685,330,62.98,9.35,-3.65
1/16/2017,520,540,516,539,535.57,1639,82,877802,1469,89.63,24,19
1/13/2017,542.7,542.7,523,529.6,526.99,1498,67,789429,1090,72.76,19.7,-13.1
1/12/2017,539,542,530.1,535.05,535.01,443977,165,237533108,441337,99.41,11.9,-3.95
1/11/2017,540,540,534,535.5,537.73,546,38,293599,291,53.3,6,-4.5
1/10/2017,551,555,530.25,538.8,540.78,1238,84,669483,794,64.14,24.75,-12.2
1/9/2017,525,553.85,523.05,550.9,544.61,2772,245,1509657,1465,52.85,30.8,25.9
1/6/2017,525,545,519.5,521.85,530.96,1754,214,931306,868,49.49,25.5,-3.15
1/5/2017,520.1,526,502.1,518.25,514.5,2165,117,1113899,1362,62.91,23.9,-1.85
1/4/2017,519.5,525,502.05,520.1,518.34,2351,114,1218618,1408,59.89,22.95,0.6
1/3/2017,475.1,511.6,475.1,505.1,490.83,12988,240,6374897,12276,94.52,36.5,30
1/2/2017,498,498,475,475.95,479.49,1153,94,552855,589,51.08,23,-22.05
12/30/2016,471,484.55,471,480.1,477.55,3230,135,1542479,1536,47.55,13.55,9.1
12/29/2016,453.05,457.9,449,451.85,452.33,4053,36,1833302,3827,94.42,8.9,-1.2
12/28/2016,465,470,452.05,453.4,459.72,555,42,255146,455,81.98,17.95,-11.6
12/27/2016,456,463,456,458.45,457.37,188,11,85985,113,60.11,7,2.45
12/26/2016,460,460,452.5,455.65,456.03,311,30,141826,155,49.84,7.5,-4.35
12/23/2016,460,473.85,450.05,469.35,462.49,1489,64,688645,1164,78.17,23.8,9.35
12/22/2016,468,469,453.5,461,462.6,104,14,48110,96,92.31,15.5,-7
12/21/2016,471.45,471.45,465.95,470,466.93,113,16,52763,96,84.96,5.5,-1.45
12/20/2016,479.95,479.95,460.55,468.5,468.22,4698,96,2199705,3755,79.93,19.4,-11.45
12/19/2016,478.6,482,473,475.85,477.63,193,18,92183,118,61.14,9,-2.75
12/16/2016,490,490,475.5,477.5,483.88,205,32,99196,128,62.44,14.5,-12.5
12/15/2016,485.55,489,482,483.9,486.09,180,16,87496,113,62.78,7,-1.65
12/14/2016,483,490.45,480.05,483.3,484.68,1062,27,514730,1041,98.02,10.4,0.3
12/13/2016,490,496.1,485,485,491.02,126,24,61868,39,30.95,11.1,-5
12/12/2016,487.7,489.95,477.65,480.25,484.07,2942,37,1424120,2891,98.27,12.3,-7.45
12/9/2016,494,494,476.15,480.6,481.97,1052,56,507034,633,60.17,17.85,-13.4
12/8/2016,503.9,503.9,493.55,497.5,498.7,146,17,72810,119,81.51,10.35,-6.4
12/7/2016,500.4,505.95,493.5,494.4,497.97,306,37,152380,207,67.65,12.45,-6
12/6/2016,483.45,503.9,475.5,497.8,494.64,1818,116,899249,903,49.67,28.4,14.35
12/5/2016,468,489,465.35,478.7,474.98,4633,179,2200562,2811,60.67,23.65,10.7
12/2/2016,490,491,465.5,473.45,473.09,198,34,93672,120,60.61,25.5,-16.55
12/1/2016,471.5,488.5,465,477.05,474.47,1132,83,537101,949,83.83,23.5,5.55
11/30/2016,465.1,473.5,464.3,466,467.12,390,41,182175,306,78.46,9.2,0.9
11/29/2016,478,483,455,461,464.79,3189,91,1482217,2103,65.95,28,-17
11/28/2016,481.25,490,466,479.95,478.37,564,49,269798,329,58.33,24,-1.3
11/25/2016,480,489,480,489,483.58,135,18,65283,74,54.81,9,9
11/24/2016,474.9,482.95,474.9,482.45,476.45,320,17,152463,220,68.75,8.05,7.55
11/23/2016,461.9,479.5,451,477.55,468.53,626,95,293298,438,69.97,28.5,15.65
11/22/2016,460,465,441.1,454.15,451.27,867,71,391247,603,69.55,23.9,-5.85
11/21/2016,460.05,462,440.5,445.85,448.9,1666,85,747873,845,50.72,21.5,-14.2
11/18/2016,474,475,458.55,460,464.41,1111,69,515965,874,78.67,16.45,-14
11/17/2016,469,474.95,462,473.9,467.54,402,39,187951,311,77.36,12.95,4.9
11/16/2016,462,469.5,457,466.2,461.22,756,79,348681,517,68.39,12.5,4.2
11/15/2016,487.05,487.05,455,461.4,466.35,3301,152,1539422,1736,52.59,32.05,-25.65
11/11/2016,493,499.95,482.1,485.8,491.47,1095,55,538156,859,78.45,17.85,-7.2
11/10/2016,497,510,497,501.25,500.78,295,29,147731,202,68.47,13,4.25
11/9/2016,495,499,450,498,480.62,1773,76,852141,1016,57.3,49,3
11/8/2016,505,511.4,499.1,504.1,504.34,852,75,429694,353,41.43,12.3,-0.9
11/7/2016,509,514.95,499,502.05,503.25,1008,80,507280,624,61.9,15.95,-6.95
11/4/2016,522,522,502.1,504.85,506.69,510,36,258411,295,57.84,19.9,-17.15
11/3/2016,522.3,527,511.2,513.2,521.61,906,46,472581,598,66,15.8,-9.1
11/2/2016,538,538,520,522.4,525.2,631,37,331399,507,80.35,18,-15.6
11/1/2016,515,538.4,515,536.25,532.51,1679,101,894090,1074,63.97,23.4,21.25
10/30/2016,519.45,525,510,519.35,518.15,2087,68,1081384,1450,69.48,15,-0.1
10/28/2016,510.05,510.5,509.05,510.15,510.01,660,64,336605,558,84.55,1.45,0.1
10/27/2016,517.85,518.8,509,509.95,511.04,553,52,282603,491,88.79,9.8,-7.9
10/26/2016,508.05,512,506,511.1,509.5,275,25,140113,228,82.91,6,3.05
10/25/2016,510.55,515.45,502,510.25,506.92,5168,117,2619787,1606,31.08,13.45,-0.3
10/24/2016,529,529,505,514.8,511.88,2123,47,1086712,1870,88.08,24,-14.2
10/21/2016,503,514,503,508.8,509.45,610,54,310764,409,67.05,11,5.8
10/20/2016,499,517.4,499,507.9,510.03,4038,182,2059493,2979,73.77,18.4,8.9
10/19/2016,511,520,500,502.7,506.23,4241,139,2146929,3677,86.7,20,-8.3
10/18/2016,520,527.5,505.1,511,520.46,2084,100,1084649,1611,77.3,22.4,-9
10/17/2016,515.5,516,510,512.45,513.04,1007,61,516631,573,56.9,6,-3.05
10/14/2016,538,539,516.4,518,523.23,730,53,381960,558,76.44,22.6,-20
10/13/2016,534,537.95,518.4,520.75,527.82,3135,95,1654717,2648,84.47,19.55,-13.25
10/10/2016,541,542,530,533.95,536.23,1153,77,618278,843,73.11,12,-7.05
10/7/2016,541,544.95,531,540,538.17,758,50,407932,534,70.45,13.95,-1
10/6/2016,545,553,535,540.05,542.5,3809,295,2066375,2813,73.85,18,-4.95
10/5/2016,541.55,546,538,538.65,540.95,2740,529,1482203,2116,77.23,8,-2.9
10/4/2016,554.9,554.9,542.25,546.4,546.12,1772,88,967729,1441,81.32,12.65,-8.5
10/3/2016,555.5,555.5,545.75,548,549.44,900,67,494497,496,55.11,9.75,-7.5
9/30/2016,557.4,559.85,549,551.35,551.15,964,38,531310,785,81.43,10.85,-6.05
9/29/2016,565.8,577.3,549.5,549.95,556.32,1396,82,776623,988,70.77,27.8,-15.85
9/28/2016,569.95,569.95,563,563.5,563.12,2346,64,1321072,2120,90.37,6.95,-6.45
9/27/2016,572.95,579.95,563.6,567.05,573.11,608,43,348452,473,77.8,16.35,-5.9
9/26/2016,569,583.9,567,577.8,577.28,1404,70,810502,1312,93.45,16.9,8.8
9/23/2016,565,578.9,565,569.45,571.73,326,38,186384,225,69.02,13.9,4.45
9/22/2016,575.9,579.15,569,570.8,574.45,594,54,341223,434,73.06,10.15,-5.1
9/21/2016,561.5,575,560,571.15,567.29,1597,105,905956,988,61.87,15,9.65
9/20/2016,565,570,554.75,555.9,559.16,1784,80,997544,1715,96.13,15.25,-9.1
9/19/2016,566,570,556,561.95,561.52,1572,67,882705,1168,74.3,14,-4.05
9/16/2016,561.05,572,561.05,565.05,565.89,1859,66,1051981,1438,77.35,10.95,4
9/15/2016,560,570,560,565.3,565.8,1766,63,999197,1516,85.84,10,5.3
9/14/2016,574.25,574.25,560.05,564.5,570.19,1913,117,1090766,1674,87.51,14.2,-9.75
9/12/2016,578.35,584.9,574,574.85,576.79,2116,126,1220498,1639,77.46,10.9,-3.5
9/9/2016,583.3,585,578.5,578.95,580.3,2120,82,1230246,1881,88.73,6.5,-4.35
9/8/2016,586.5,595.9,582.5,584.2,586,2003,128,1173760,1592,79.48,13.4,-2.3
9/7/2016,593,594.85,587,588.35,590.12,2496,202,1472940,1652,66.19,7.85,-4.65
9/6/2016,594,596.65,590.15,591.7,592.82,4746,343,2813533,2836,59.76,6.5,-2.3
9/2/2016,601.4,601.8,595,597.15,598.95,22479,206,13463868,21820,97.07,6.8,-4.25
9/1/2016,614.9,614.95,596,597.25,601.99,2507,179,1509181,1524,60.79,18.95,-17.65
8/31/2016,606.45,614.1,601,610.55,608.18,1223,114,743799,823,67.29,13.1,4.1
8/30/2016,619.5,619.5,602,604.6,609.73,589,83,359131,395,67.06,17.5,-14.9
8/29/2016,601.3,614.95,599.4,606.75,603.08,1620,133,976997,1223,75.49,15.55,5.45
8/26/2016,597.5,603.95,596,599.35,599.89,5323,181,3193219,5095,95.72,7.95,1.85
8/25/2016,597,601.5,595,599.85,599.29,3199,235,1917124,2947,92.12,6.5,2.85
8/24/2016,600.3,605,595.5,597.1,600.64,6480,119,3892136,5872,90.62,9.5,-3.2
8/23/2016,608.5,610.15,597.55,599.55,602.53,1630,128,982116,1357,83.25,12.6,-8.95
8/22/2016,611,611,606.05,609.45,609.82,261,30,159164,135,51.72,4.95,-1.55
8/19/2016,605.95,620.3,605,606.7,609.99,311,38,189708,113,36.33,15.3,0.75
8/18/2016,620.25,620.3,604.1,606,608.85,1670,73,1016786,1372,82.16,16.2,-14.25
8/17/2016,607.5,621.5,601,615.05,614.62,1536,121,944049,1013,65.95,20.5,7.55
8/16/2016,630,630,610,613.35,618.25,2088,150,1290898,1011,48.42,20,-16.65
8/12/2016,608.25,620,602.25,607.4,615.61,1881,147,1157954,1095,58.21,17.75,-0.85
8/11/2016,613.95,619.2,610.1,611.6,615.9,777,43,478557,643,82.75,9.1,-2.35
8/10/2016,617.5,623.95,610,614.1,614.27,1911,119,1173871,1309,68.5,13.95,-3.4
8/9/2016,621.2,625.9,614,617.7,618.81,610,48,377477,451,73.93,11.9,-3.5
8/8/2016,607.05,634,601.1,615.7,616.68,1756,149,1082896,846,48.18,32.9,8.65
8/5/2016,614.3,615.05,570,604.95,600.31,2428,233,1457560,1343,55.31,45.05,-9.35
8/4/2016,610,619.9,605,610.45,611.31,777,52,474988,550,70.79,14.9,0.45
8/3/2016,607.7,619.9,606.5,607.4,608.8,722,44,439551,527,72.99,13.4,-0.3
8/2/2016,610,616.4,608.1,610.9,610.6,2490,110,1520393,2085,83.73,8.3,0.9
8/1/2016,625,625,612.1,612.9,616.68,490,53,302175,338,68.98,12.9,-12.1
7/29/2016,627,627.9,616,616.55,621.39,1972,145,1225381,1074,54.46,11.9,-10.45
7/28/2016,627,630,625.05,626.05,627.28,1910,163,1198102,1323,69.27,4.95,-0.95
7/27/2016,618,633,618,624,624.96,504,53,314978,299,59.33,15,6
7/26/2016,635,636.25,623.55,626.45,630.07,666,99,419628,366,54.95,12.7,-8.55
7/25/2016,633.5,640.25,630,633.15,634.95,7813,95,4960876,7527,96.34,10.25,-0.35
7/22/2016,636.65,636.65,621.6,625.05,629.94,645,74,406313,444,68.84,15.05,-11.6
7/21/2016,645.9,645.9,633.05,634.95,637.85,1026,158,654433,534,52.05,12.85,-10.95
7/20/2016,639,647.6,631.5,639.9,639.37,1488,215,951383,496,33.33,16.1,0.9
7/19/2016,634.5,636.9,631.35,632.85,633.6,446,66,282587,248,55.61,5.55,-1.65
7/18/2016,645,645,628,635.25,637.82,786,82,501330,534,67.94,17,-9.75
7/15/2016,648.5,648.5,631.5,637.35,641.76,935,127,600046,530,56.68,17,-11.15
7/14/2016,650.5,653,642.2,651.1,648.81,2240,196,1453343,1513,67.54,10.8,0.6
7/13/2016,645.3,651,638.2,647,644.68,1164,122,750402,852,73.2,12.8,1.7
7/12/2016,644.8,645.6,610,639.75,629.23,2631,166,1655504,1909,72.56,35.6,-5.05
7/11/2016,630,641.5,630,639.6,637.27,4423,210,2818626,3927,88.79,11.5,9.6
7/8/2016,630.6,640,625,626.45,629.06,1167,126,734109,647,55.44,15,-4.15
7/7/2016,625,639.3,620.05,636.95,630.59,1444,98,910576,896,62.05,19.25,11.95
7/5/2016,626,633,621.1,625.25,626.27,917,71,574286,648,70.67,11.9,-0.75
7/4/2016,620,622.55,611.5,617.7,618.47,1000,140,618465,639,63.9,11.05,-2.3
7/1/2016,632.9,632.9,616.55,621.6,622.96,2709,307,1687592,1739,64.19,16.35,-11.3
6/30/2016,622,634.45,617.1,621.1,626.63,1457,118,913004,954,65.48,17.35,-0.9
6/29/2016,612.55,625,607.45,621.9,614.89,693,72,426117,190,27.42,17.55,9.35
6/28/2016,607.95,612.9,600.95,610,609.78,341,21,207936,308,90.32,11.95,2.05
6/27/2016,600.6,614.95,600.6,610,609.56,3599,90,2193817,3212,89.25,14.35,9.4
6/24/2016,590,607.5,582,598.45,595.7,1474,134,878064,864,58.62,25.5,8.45
6/23/2016,617,617,606,608,610.72,1218,120,743861,747,61.33,11,-9
6/22/2016,615,622,615,620.55,620.75,3820,550,2371257,3241,84.84,7,5.55
6/21/2016,618.7,618.7,610.5,610.8,612.76,862,52,528196,687,79.7,8.2,-7.9
6/20/2016,612,616.7,608,614.05,612.02,945,118,578363,689,72.91,8.7,2.05
6/17/2016,625,627.75,613.35,615.5,622.06,878,69,546165,447,50.91,14.4,-9.5
6/16/2016,623.05,629.6,615,620,623.47,1299,113,809894,543,41.8,14.6,-3.05
6/15/2016,616.1,627.85,616,622.5,619.73,955,63,591844,631,66.07,11.85,6.4
6/14/2016,614.5,622,612.1,618.6,619.4,924,67,572324,555,60.06,9.9,4.1
6/13/2016,620.1,622.65,606.4,617.25,616.85,1228,129,757497,801,65.23,16.25,-2.85
6/10/2016,621,624.95,616.35,618.2,619.85,978,129,606215,521,53.27,8.6,-2.8
6/9/2016,637.25,637.25,615.5,617.8,621.83,442,46,274851,243,54.98,21.75,-19.45
6/8/2016,639.9,642,619.25,624.65,630.35,1294,139,815679,786,60.74,22.75,-15.25
6/7/2016,630,639.9,610.6,628.05,633.08,2915,246,1845435,1718,58.94,29.3,-1.95
6/6/2016,620,630.85,616.2,626.85,622.48,5469,349,3404321,3739,68.37,14.65,6.85
6/3/2016,612.5,620,611,619.25,618.28,2569,122,1588356,2234,86.96,9,6.75
6/2/2016,610,613.65,609,610.25,610.52,501,84,305870,268,53.49,4.65,0.25
6/1/2016,612,615.85,609.05,611.8,612.02,349,49,213595,291,83.38,6.8,-0.2
5/31/2016,624,624,580.5,612.25,612.96,1419,110,869788,795,56.03,43.5,-11.75
5/30/2016,620,620,609.95,611.85,612.03,513,86,313971,287,55.95,10.05,-8.15
5/27/2016,617.95,619.95,611,611.75,613.52,187,32,114728,120,64.17,8.95,-6.2
5/26/2016,615.3,620,606,618.5,617.34,2091,152,1290862,1676,80.15,14,3.2
5/25/2016,619.5,620,608.1,612.85,616.53,500,70,308266,287,57.4,11.9,-6.65
5/24/2016,615,627.1,610.05,618.65,616.92,1119,165,690329,833,74.44,17.05,3.65
5/23/2016,620,620,604.6,609.45,608.88,952,75,579656,694,72.9,15.4,-10.55
5/20/2016,611,614.4,604.1,607,607.32,214,33,129967,110,51.4,10.3,-4
5/19/2016,619,630.9,605.35,609.4,613.12,2022,123,1239729,1363,67.41,25.55,-9.6
5/18/2016,617,619.35,606.7,609.9,612.32,335,45,205128,213,63.58,12.65,-7.1
5/17/2016,615.75,622.95,612,618.3,616.68,3411,208,2103502,2169,63.59,10.95,2.55
5/16/2016,607,616,607,611.4,612.7,3522,143,2157939,2555,72.54,9,4.4
5/13/2016,607.5,618.75,595.1,603.35,605.35,509,116,308122,310,60.9,23.65,-4.15
5/12/2016,620,622.8,597.5,616.85,613.21,2179,78,1336185,1801,82.65,25.3,-3.15
5/11/2016,605,618.5,605,616.6,614.2,1234,79,757917,501,40.6,13.5,11.6
5/10/2016,600,622,580.4,612.5,602.34,10780,685,6493267,3911,36.28,41.6,12.5
5/9/2016,620,624.95,607,610.4,612.03,5198,186,3181320,4372,84.11,17.95,-9.6
5/6/2016,610.05,622,609,613,615.17,1857,225,1142378,1041,56.06,13,2.95
5/5/2016,634,634,605.15,612.8,617.78,4175,435,2579221,2245,53.77,28.85,-21.2
5/4/2016,610,622,610,612.1,613.51,878,44,538662,755,85.99,12,2.1
5/3/2016,630,630,612.25,615.95,624.08,609,35,380066,527,86.54,17.75,-14.05
5/2/2016,630,630,620,627.6,625.45,536,66,335240,249,46.46,10,-2.4
4/29/2016,628.15,634.95,622.1,630.55,628.5,615,69,386525,315,51.22,12.85,2.4
4/28/2016,629.2,638,620,620.35,626.44,502,77,314475,258,51.39,18,-8.85
4/27/2016,630,643.6,630,635.95,636.59,1301,99,828202,910,69.95,13.6,5.95
4/26/2016,622.05,629.2,612.05,627.2,624.87,540,58,337430,328,60.74,17.15,5.15
4/25/2016,614,640,611,627.35,621.34,520,55,323095,290,55.77,29,13.35
4/22/2016,620.25,629.45,613.25,617.4,618.09,682,57,421534,379,55.57,16.2,-2.85
4/21/2016,629,632,617.05,622.7,626.4,773,91,484211,449,58.09,14.95,-6.3
4/20/2016,635,635,610.1,617.55,618.1,371,56,229316,228,61.46,24.9,-17.45
4/18/2016,631,634.8,625,627.65,631.09,811,82,511813,484,59.68,9.8,-3.35
4/13/2016,641.5,655,629,632.35,643.26,1916,194,1232487,1145,59.76,26,-9.15
4/12/2016,640,640,625,633.95,630.39,496,55,312672,201,40.52,15,-6.05
4/11/2016,640.2,645,631.1,639.35,642.31,1317,77,845925,1000,75.93,13.9,-0.85
4/8/2016,639.95,644,626.1,641.7,635.49,208,38,132181,123,59.13,17.9,1.75
4/7/2016,624.9,639,624,634.45,633.35,1048,112,663753,601,57.35,15,9.55
4/6/2016,625,634.3,625,628.8,628.77,957,92,601730,782,81.71,9.3,3.8
4/5/2016,627,632,621.25,627.8,626.19,628,87,393246,415,66.08,10.75,0.8
4/4/2016,615.05,632.85,609,630.2,622.14,2868,227,1784285,1140,39.75,23.85,15.15
4/1/2016,615.8,615.8,603,612.8,609.71,1291,80,787131,792,61.35,12.8,-3
3/31/2016,601.35,610.5,582,606.7,601.6,3083,279,1854720,1768,57.35,28.5,5.35
